player_id,name,normalized_name,team,role_classic,roles_mantra,quotation_classic,quotation_mantra,fvm_classic,fvm_mantra,starts,minutes,starter_signal,set_piece_signal,injury_signal,updated_at,appearances,average_rating,fantasy_average,goals,assists,penalties_scored,penalties_taken,previous_appearances,previous_average_rating,previous_fantasy_average,previous_goals,previous_assists
fc-5585,Malen,malen,ROM,A,PC,38,38,450,450,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,8.25,15.5,5,0,0,0,18.0,6.78,9.03,14.0,2.0
fc-2764,Martinez L.,martinez l,INT,A,PC,33,33,361,361,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.75,5.5,0,0,0,0,30.0,6.42,8.25,17.0,6.0
fc-254,Dimarco,dimarco,INT,D,E|W,31,29,240,240,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,6.25,0,0,0,0,35.0,6.64,7.69,7.0,17.0
fc-6875,Paz N.,paz n,COM,C,T|A,29,27,245,245,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,6.33,7.33,1,0,0,0,35.0,6.41,7.34,12.0,5.0
fc-2194,Calhanoglu,calhanoglu,INT,C,M|C,28,29,243,273,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,7.0,9.75,2,0,0,0,22.0,6.43,7.55,9.0,4.0
fc-4871,Thuram,thuram,INT,A,PC,28,28,249,249,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,6.0,6.0,0,0,0,0,29.0,6.4,7.91,13.0,6.0
fc-6052,Hojlund,hojlund,NAP,A,PC,28,28,260,260,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,7.75,1,0,0,0,33.0,6.21,7.44,12.0,5.0
fc-6397,Ramos G.,ramos g,MIL,A,PC,27,27,237,237,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,8.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-4777,McTominay,mctominay,NAP,C,C|T,27,27,220,220,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.5,0,0,0,0,33.0,6.35,7.21,10.0,2.0
fc-2167,Orsolini,orsolini,BOL,C,W|A,25,24,177,177,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.75,5.75,0,0,0,0,34.0,6.1,6.81,10.0,1.0
fc-5951,Kolo Muani,kolo muani,JUV,A,PC,25,25,165,165,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-2097,Kean,kean,COM,A,PC,24,24,183,183,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,6.75,0,1,0,0,26.0,5.87,6.75,8.0,1.0
fc-2423,Pulisic,pulisic,MIL,C,T|A,24,22,150,150,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,29.0,6.07,6.93,8.0,4.0
fc-2379,Rabiot,rabiot,MIL,C,C|T,23,23,145,145,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.75,8.75,1,1,0,0,29.0,6.33,6.98,6.0,4.0
fc-6752,Woltemade,woltemade,JUV,A,A,23,23,160,160,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-7017,Douvikas,douvikas,COM,A,PC,22,22,185,185,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,6.33,8.33,2,0,0,0,36.0,6.19,7.39,14.0,1.0
fc-6434,Yildiz,yildiz,JUV,A,A,22,23,100,100,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,5.5,5.5,0,0,0,0,35.0,6.46,7.37,10.0,6.0
fc-7126,Baturina,baturina,COM,C,T,20,19,105,104,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,6.67,8.5,2,0,0,0,25.0,6.34,7.18,6.0,3.0
fc-7556,Mora,mora,ROM,C,T,20,19,100,100,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,8.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
